Pāli1	Fin	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Pali chant 2	English chant 2	Chapter 2	Source 3	Sutta 3	Example 3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	Feedback
pātimokkha	ps	masc							(vinaya) 227 precepts for Buddhist monks		disciplinary code; precepts; training rules; lit. leading to freedom	√mokkh 1 a (to be freed)		pa + ati + √mokkh + a	pratimokṣa	√mokṣ	pāṭimokkha	(KV) tattha pātimokkhanti paatimokkhaṃ atipamokkhaṃ atiseṭṭhaṃ atiuttamanti attho.		DHP 185	buddhavaggo	anūpavādo anūpaghāto, <b>pātimokkhe</b> ca saṃvaro, <br/>mattaññutā ca bhattasmiṃ, pantañ’ca sayan’āsanaṃ, <br/>adhicitte ca āyogo, etaṃ buddhāna sāsanaṃ.	MN 107	gaṇakamoggallānasuttaṃ	‘ehi tvaṃ, bhikkhu, sīlavā hohi, <b>pātimokkha</b>-saṃvara-saṃvuto viharāhi ācāra-gocara-sampanno aṇumattesu vajjesu bhaya-dassāvī, samādāya sikkhassu sikkhāpadesū’ti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	pātimokkh	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pātimokkha"">feedback</a>"
pātheyya	p	nt		patha					provisions for a journey; food for the road; snack			√path 1 a (to go, move)		√path > pāth + a + *eyya<br/>patha + *eyya	pātheya	√path √panth		(DHPa) pātheyyan'ti gamikassa taṇḍulādipātheyyaṃ viya paralokaṃ gacchantassa tava kusalapātheyyam'pi n'atthī'ti attho.<br/>(SNt) saddhā bandhati pātheyyan'ti saddhā nāma sattassa maraṇavasena mahāpathaṃ saṃvajato mahākantāraṃ paṭipajjato mahāviduggaṃ pakkhandato pātheyyapuṭaṃ bandhati sambalaṃ sajjeti.		DHP 235	malavaggo	paṇḍupalāso'va dāni'si, yamapurisā'pi ca te upaṭṭhitā,<br/>uyyogamukhe ca tiṭṭhasi, <b>pātheyyam</b>'pi ca te na vijjati.														pātheyy	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pātheyya"">feedback</a>"
pānabhojana	p	nt	comp						drink and food					pāna + bhojana	pāna + bhojana					DHP 249	malavaggo	dadāti ve yathāsaddhaṃ, yathāpasādanaṃ jano,<br/>tattha yo maṅku bhavati, paresaṃ <b>pānabhojane</b>,<br/>na so divā vā rattiṃ vā, samādhim'adhigacchati.														pānabhojan	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pānabhojana"">feedback</a>"
pāna 1	ps	nt	act, in comps	pivati					drinking; sipping			√pā 1 a (to drink)		√pā + na	pāna, pibati	√pā				DHP 247	malavaggo	surā-meraya-<b>pānañ</b>’ca, yo naro anuyuñjati.<br/>idh’evam’eso lokasmiṃ, mūlaṃ khaṇati attano.	SNP 16	maṅgalasuttaṃ<br/>cūḷavaggo 4	āratī viratī pāpā, majja-<b>pānā</b> ca saṃyamo.<br/>appamādo ca dhammesu, etaṃ maṅgalam’uttamaṃ. 	Maṅgala-sutta	The Highest Blessings	Protective Recitations							51n	pān	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāna 1"">feedback</a>"
pāpakammī	p	masc	agent, comp						evil doer; criminal; villain					pāpa + kammī	pāpakarmin					DHP 126	pāpavaggo	gabbham'eke uppajjanti, nirayaṃ <b>pāpakammino</b>,<br/>saggaṃ sugatino yanti, parinibbanti anāsavā.														pāpakamm	ī masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāpakammī"">feedback</a>"
pāpakārī 2	p	masc	agent, comp						wrong-doer; evil-doer					pāpa + kārī	pāpakārin					DHP 15	yamakavaggo	idha socati pecca socati, <b>pāpakārī</b> ubhay'attha socati,<br/>so socati so vihaññati, disvā kammakiliṭṭham'attano.														pāpakār	ī masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāpakārī 2"">feedback</a>"
pāpañce	p	sandhi	nt + ind						if evil action; if crime					pāpaṃ + ce	pāpam + ced					DHP 117	pāpavaggo	<b>pāpañ'ce</b> puriso kayirā, na naṃ kayirā punappunaṃ,<br/>na tamhi chandaṃ kayirātha, dukkho pāpassa uccayo.														!	pāpaṃ ce	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāpañce"">feedback</a>"
pāpadhamma 2	p	masc	comp						bad habit; wicked deed; evil thing					pāpa + dhamma	pāpa + dharma					DHP 248	malavaggo	evaṃ bho purisa jānāhi, <b>pāpadhammā</b> asaññatā. <br/>mā taṃ lobho adhammo ca, ciraṃ dukkhāya randhayuṃ.														pāpadhamm	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāpadhamma 2"">feedback</a>"
pāpa 2	ps	nt							worthless action; evil; crime; sin; wrongdoing; misdeed						pāpa					DHP 269	dhammaṭṭha vaggo	<b>pāpāni</b> parivajjeti, sa munī tena so muni. <br/>yo munāti ubho loke, “muni” tena pavuccati.	DHP 183	buddhavaggo	sabba-<b>pāpassa</b> akaraṇaṃ, kusalassa upasampadā. <br/>sacitta-pariyodapanaṃ, etaṃ buddhāna sāsanaṃ.	Ovāda-pāṭimokkha-gāthā	The Pāṭimokkha Exhortation	Verses							09n	pāp	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāpa 2"">feedback</a>"
pāpa 3	pp	masc							evil doer; criminal; wrong-doer						pāpa					DHP 119	pāpavaggo	<b>pāpo</b>'pi passati bhadraṃ, yāva pāpaṃ na paccati,<br/>yadā ca paccati pāpaṃ, atha <b>pāpo</b> pāpāni passati.	DHP 307	nirayavaggo	kāsāvakaṇṭhā bahavo, pāpadhammā asaññatā,<br/><b>pāpā</b> pāpehi kammehi, nirayaṃ te upapajjare.											pāp	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāpa 3"">feedback</a>"
pāpikā	p	adj	fem	pāpaka					wicked; evil; bad; worthless					pāpa + ikā	pāpikā					DHP 310	nirayavaggo	apuññalābho ca gatī ca <b>pāpikā</b>, bhītassa bhītāya ratī ca thokikā,<br/>rājā ca daṇḍaṃ garukaṃ paṇeti, tasmā naro paradāraṃ na seve.														pāp	aka adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāpikā"">feedback</a>"
pāpiya	pp	adj	compar	pāpa				+abl +instr	worse (than); more evil (than)					pāpa + iya	pāpīyas					DHP 76	paṇḍitavaggo	nidhīnaṃ’va pavattāraṃ, yaṃ passe vajjadassinaṃ, <br/>niggayhavādiṃ medhāviṃ, tādisaṃ paṇḍitaṃ bhaje, <br/>tādisaṃ bhajamānassa, seyyo hoti na <b>pāpiyo</b>.	DHP 42	cittavaggo	diso disaṃ yaṃ taṃ kayirā, verī vā pana verinaṃ,<br/>micchāpaṇihitaṃ cittaṃ, <b>pāpiyo</b> naṃ tato kare.											pāpiy	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāpiya"">feedback</a>"
pāpuṇāti 1	p	pr					trans	+acc	reaches; arrives (at); attains; experiences			√ap 4 uṇā (to reach, attain)	√ap + uṇā > apuṇā	pa + apuṇā + ti	prāpnoti	√āp				DHP 138	daṇḍavaggo	vedanaṃ pharusaṃ jāniṃ, sarīrassa ca bhedanaṃ,<br/>garukaṃ vā'pi ābādhaṃ, cittakkhepañ'ca <b>pāpuṇe</b>.														pāpuṇ	āti pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāpuṇāti 1"">feedback</a>"
pāmojjabahula	pp	adj	comp						full of joy; full of happiness					pāmojja + bahula	prāmodya + bahula					DHP 376	bhikkhuvaggo	mitte bhajassu kalyāṇe, suddhājīve atandite,<br/>paṭisanthāravuty'assa, ācārakusalo siyā,<br/>tato <b>pāmojjabahulo</b>, dukkhass'antaṃ karissati.	DHP 381	bhikkhuvaggo	<b>pāmojjabahulo</b> bhikkhu, pasanno buddhasāsane,<br/>adhigacche padaṃ santaṃ, saṅkhār'ūpasamaṃ sukhaṃ.											pāmojjabahul	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāmojjabahula"">feedback</a>"
pāragavesī	ps	adj	comp						who is looking for salvation; seeking the beyond; lit. seeking the far shore					pāra + gavesī	pāra + gaveṣin					DHP 355	taṇhāvaggo	hananti bhogā dummedhaṃ, no ca <b>pāragavesino</b>,<br/>bhogataṇhāya dummedho, hanti aññe'va attanaṃ.	TH 251	raṭṭhapālattheragāthā	alattaka-katā pādā, mukhaṃ cuṇṇaka-makkhitaṃ. <br/>alaṃ bālassa mohāya, no ca <b>pāragavesino</b>.	Raṭṭhapāla-thera-gāthā	From the Elder Raṭṭhapāla	Verses							12n	pāragaves	ī adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāragavesī"">feedback</a>"
pāragū 1	pp	masc	agent, comp					+gen	who has gone beyond; who has crossed over					pāra + gū	pāraga					DHP 348	taṇhāvaggo	muñca pure muñca pacchato, majjhe muñca bhavassa <b>pāragū</b>,<br/>sabbattha vimuttamānaso, na punaṃ jātijaraṃ upehisi.	SNP 39	kāmasuttaṃ<br/>aṭṭhakavaggo 1	tasmā jantu sadā sato, kāmāni parivajjaye,<br/>te pahāya tare oghaṃ, nāvaṃ sitvā'va <b>pāragū</b>'ti.											pārag	ū masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāragū 1"">feedback</a>"
pārāpāra	p	nt	comp						far and near shore; world and self; other world and this world; thither and hither; duality					pāra + apāra	pāra + apāra					DHP 385	brāhmaṇavaggo	yassa pāraṃ apāraṃ vā, <b>pār'āpāraṃ</b> na vijjati,<br/>vītaddaraṃ visaṃyuttaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.														pārāpār	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pārāpāra"">feedback</a>"
pāvaka 1	p	adj							bright; shining; pure; lit. purifying			√pu 5 nā (to purify, cleanse)		√pu > pāv + *aka	pāvaka	√pū				DHP 140	daṇḍavaggo	atha v'āssa agārāni, aggi ḍahati <b>pāvako</b>,<br/>kāyassa bhedā duppañño, nirayaṃ so'papajjati.														pāvak	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāvaka 1"">feedback</a>"
pāvaka 2	p	masc							fire; lit. purifier			√pu 5 nā (to purify, cleanse)		√pu > pāv + *aka	pāvaka	√pū				DHP 71	bālavaggo	na hi pāpaṃ kataṃ kammaṃ, sajju khīraṃ'va muccati,<br/>ḍahantaṃ bālam'anveti, bhasmacchanno'va <b>pāvako</b>.														pāvak	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāvaka 2"">feedback</a>"
pitaraṃ	p	masc	acc sg	pitar					father (object)					pitar + aṃ	pitaram					DHP 294	pakiṇṇakavaggo	mātaraṃ <b>pitaraṃ</b> hantvā, rājāno dve ca khattiye,<br/>raṭṭhaṃ sānucaraṃ hantvā, anīgho yāti brāhmaṇo.														!	pitar	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pitaraṃ"">feedback</a>"
pitvā	p	abs		pivati			trans	+acc	having drunk; having sipped			√pā 1 a (to drink)		√pā + itvā	pītvā	√pā	pītvā		Kacc 502, 493 (pā > pī)	DHP 205	sukhavaggo	pavivekarasaṃ <b>pitvā</b>, rasaṃ upasamassa ca,<br/>niddaro hoti nippāpo, dhammapītirasaṃ pivaṃ.														-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pitvā"">feedback</a>"
pithīyati	p	pr		pidahati		pass	intrans	+instr	is closed; is shut; lit. is puts on			√dhā 1 īya (to place, support)	√dhā + īya > dhīya > thīya (pass)	(a)pi + thīya + ti		√dhā				DHP 173	lokavaggo	yassa pāpaṃ kataṃ kammaṃ, kusalena <b>pithīyati</b> <br/>so’maṃ lokaṃ pabhāseti, abbhā mutto’va candimā.														pithīy	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pithīyati"">feedback</a>"
pidhīyati 2	p	pr		pidahati		pass	intrans	+instr	is replaced (by); is superseded (by); is supplanted (by); lit. is closed (by)			√dhā 1 ya (to place, support)	√dhā > dhī + ya > dhīya (pass)	(a)pi + dhīya + ti	apidhīyate	√dhā	pithīyati, pitīyati		Kacc 502, 493 (dhā > dhī)	DHP 173	lokavaggo	yassa pāpaṃ kataṃ kammaṃ, kusalena <b>pidhīyati</b>,<br/>so'maṃ lokaṃ pabhāseti, abbhā mutto'va candimā.														pidhīy	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pidhīyati 2"">feedback</a>"
piyaggāhī	p	adj	comp						grasping after pleasure; grabbing what one loves; lit. grabbing the dear					piya + gāhī	priya + grāhin			(DHPa) piyaggāhī'ti pañcakāmaguṇasaṅkhātaṃ piyam'eva gaṇhanto.		DHP 209	piyavaggo	ayoge yuñjam'attānaṃ, yogasmiñ'ca ayojayaṃ,<br/>atthaṃ hitvā <b>piyaggāhī</b>, pihet'att'ānuyoginaṃ.														piyaggāh	ī adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=piyaggāhī"">feedback</a>"
piyāpāya	p	masc	comp						loss of loved ones; separation from the beloved; absence of the loved					piya + apāya	priyāpāya					DHP 211	piyavaggo	tasmā piyaṃ na kayirātha, <b>piy'āpāyo</b> hi pāpako,<br/>ganthā tesaṃ na vijjanti, yesaṃ n'atthi piy'āppiya.														piyāpāy	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=piyāpāya"">feedback</a>"
piyāppiya	p	adj	comp						beloved and unloved; friend and foe; pleasant and unpleasant					piya + appiya	priyāpriya		piyāpiya			DHP 211	piyavaggo	tasmā piyaṃ na kayirātha, piy'āpāyo hi pāpako,<br/>ganthā tesaṃ na vijjanti, yesaṃ n'atthi <b>piy'āppiya</b>.														piyāppiy	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=piyāppiya"">feedback</a>"
pivanta	p	prp		pivati			trans	+acc	drinking; sipping			√pā 1 a (to drink)	√pā + a > piva (irreg)	piva + nta	pibat	√pā			Kacc 469, 494 (pā > piv)	DHP 205	sukhavaggo	pavivekarasaṃ pitvā, rasaṃ upasamassa ca,<br/>niddaro hoti nippāpo, dhammapītirasaṃ <b>pivaṃ</b>.														piv	anta prp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pivanta"">feedback</a>"
pihayati 1	p	pr					intrans	+gen	envies; is jealous (of); covets			√pih 8 *aya (to desire, to envy)	√pih + aya > pihaya	pihaya + ti	spṛhayati	√spṛh	piheti			DHP 94	arahantavaggo	yass'indriyāni samathaṅ'gatāni, assā yathā sārathinā sudantā,<br/>pahīnamānassa anāsavassa, devā'pi tassa <b>pihayanti</b> tādino.														pihay	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pihayati 1"">feedback</a>"
pihayanta	p	prp		pihayati			intrans	+gen	envying; being jealous (of); coveting			√pih 8 *aya (to desire, to envy)	√pih + aya > pihaya	pihaya + nta	spṛh	√spṛh	pihenta			DHP 365	bhikkhuvaggo	salābhaṃ n'ātimaññeyya, n'āññesaṃ <b>pihayaṃ</b> care,<br/>aññesaṃ pihayaṃ bhikkhu, samādhiṃ n'ādhigacchati.														pihay	anta prp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pihayanta"">feedback</a>"
piheti 1	p	pr					intrans	+gen	envies; is jealous (of)			√pih 8 *e (to desire, to envy)	√pih + e > pihe	pihe + ti	spṛhayati	√spṛh	pihayati			DHP 209	piyavaggo	ayoge yuñjam'attānaṃ, yogasmiñ'ca ayojayaṃ,<br/>atthaṃ hitvā piyaggāhī, <b>piheti</b>-att'ānuyoginaṃ.														pih	eti pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=piheti 1"">feedback</a>"
pītibhakkha	p	adj	comp						feeding on delight; feasting on bliss					pīti + bhakkha	prīti + bhakṣa					DHP 200	sukhavaggo	susukhaṃ vata jīvāma, yesaṃ no n'atthi kiñcanaṃ,<br/><b>pītibhakkhā</b> bhavissāma, devā ābhassarā yathā.														pītibhakkh	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pītibhakkha"">feedback</a>"
pītirasa	p	masc	comp						flavour of delight; juice of joy					pīti + rasa	prīti + rasa					DHP 205	sukhavaggo	pavivekarasaṃ pitvā, rasaṃ upasamassa ca,<br/>niddaro hoti nippāpo, dhamma-<b>pītirasaṃ</b> pivaṃ.														pītiras	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pītirasa"">feedback</a>"
pīti 2	p	adj	in comps						drinking			√pā 1 a (to drink)		√pā > pī + ti	pīti	√pā			Kacc 502, 493 (pā > pī)	DHP 79	paṇḍitavaggo	dhamma-<b>pīti</b> sukhaṃ seti, vippasannena cetasā,<br/>ariyappavedite dhamme, sadā ramati paṇḍito.														pīt	i adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pīti 2"">feedback</a>"
puññapāpa	p	nt	comp						good and evil; merit and sin					puñña + pāpa	puṇya + pāpa					DHP 39	cittavaggo	anavassuta-cittassa, ananvāhata-cetaso,<br/><b>puññapāpa</b>-pahīnassa, n'atthi jāgarato bhayaṃ.														puññapāp	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=puññapāpa"">feedback</a>"
puññapekkha	p	adj	comp						looking for merit; seeking virtue					puñña + pekkha	puṇya + prekṣā					DHP 108	sahassavaggo	yaṃ kiñci yiṭṭhaṃ va hutaṃ va loke, saṃvaccharaṃ yajetha <b>puññapekkho</b>,<br/>sabbam'pi taṃ na catubhāgam'eti, abhivādanā ujugatesu seyyo.														puññapekkh	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=puññapekkha"">feedback</a>"
puṭṭha 2	p	pp		posati					fed; nourished; well-fed			√pus 1 *a (to nourish, take care)		√pus + ta	puṣṭa	√puṣ				DHP 325	nāgavaggo	middhī yadā hoti mahagghaso ca, niddāyitā samparivattasāyī,<br/>mahāvarāho'va nivāpa-<b>puṭṭho</b>, punappunaṃ gabbham'upeti mando.														puṭṭh	a pp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=puṭṭha 2"">feedback</a>"
puttapasu	p	masc	comp						children and livestock; sons and cattle					putta + pasu	putra + paśu					DHP 287	maggavaggo	taṃ <b>puttapasu</b>-sammattaṃ, byāsattamanasaṃ naraṃ,<br/>suttaṃ gāmaṃ mah'ogho'va, maccu ādāya gacchati.														puttapas	u masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=puttapasu"">feedback</a>"
punappunaṃ	ps	ind	adv, comp	puna					repeatedly; lit. again and again					puna + puna + aṃ	punaḥ punaḥ					DHP 338	taṇhāvaggo	yathā’pi mūle anupaddave daḷhe, chinno’pi rukkho punar’eva rūhati, <br/>evam’pi taṇhā-anusaye anūhate, nibbattatī dukkham’idaṃ <b>punappunaṃ</b>.	DHP 153	jarāvaggo	aneka-jātisaṃsāraṃ, sandhāvissaṃ anibbisaṃ, <br/>gahakāraṃ gavesanto, dukkhā jāti <b>punappunaṃ</b>.	Buddha-paṭhama-bhāsita	The Buddha’s First Exclamation	Verses							06n	-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=punappunaṃ"">feedback</a>"
punareva	p	sandhi	adv + ind						just again					puna + [r] + eva	punar + eva					DHP 338	taṇhāvaggo	yathā'pi mūle anupaddave daḷhe, chinno'pi rukkho <b>puna'r'eva</b> rūhati,<br/>evam'pi taṇh'ānusaye anūhate, nibbattatī dukkham'idaṃ punappunaṃ.														!	puna eva	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=punareva"">feedback</a>"
punaṃ	pp	ind	adv, acc sg	puna					again; once more					puna + aṃ	punar		puna			DHP 238	malavaggo	so karohi dīpam'attano, khippaṃ vāyama paṇḍito bhava,<br/>niddhantamalo anaṅgaṇo, na <b>punaṃ</b> jātijaraṃ upehisi.	DHP 348	taṇhāvaggo	muñca pure muñca pacchato, majjhe muñca bhavassa pāragū,<br/>sabbattha vimuttamānaso, na <b>punaṃ</b> jātijaraṃ upehisi.											-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=punaṃ"">feedback</a>"
pupphagandha	pp	masc	comp						floral scent; floral perfume					puppha + gandha	puṣpa + gandha					DHP 54	pupphavaggo	na <b>pupphagandho</b> paṭivātam'eti, na candanaṃ tagaramallikā,<br/>satañ'ca gandho paṭivātam'eti, sabbā disā sappuriso pavāyati.	SN 22.102	aniccasaññāsuttaṃ	seyyathā'pi, bhikkhave, ye keci <b>pupphagandhā</b>, vassikaṃ tesaṃ aggam'akkhāyati											pupphagandh	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pupphagandha"">feedback</a>"
