Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Test	audio	Feedback	ID	Tags
yāva 1	ind	prep					+abl	as long as; as far as; up to; until; from … to …						yāvat					Sri Lanka		iminā puñña-kammena mā me bāla-samāgamo. sataṃ samāgamo hotu, <b>yāva</b> nibbāna-pattiyā.	Paramāya_pūjāyañca_paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits	AN 7.23	paṭhamasattakasuttaṃ	<b>yāva</b>-kīvañca bhikkhave bhikkhū abhiṇhaṃ sannipātā bhavissanti sannipātabahulā, vuddhi’y’eva pāṭikaṅkhā no parihāni	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	DHP 284	maggavaggo	<b>yāva</b> hi vanatho na chijjati, aṇumatto'pi narassa nārisu,<br/>paṭibaddhamano'va tāva so, vaccho khīrapako'va mātari.				27n	55	[sound:yāva.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yāva 1&entry.1433863141=Anki"">Fix it here</a>."	69893	Paramāya_pūjāyañca_paṇidhiñca Aparihāniya-dhammā 
yāvakīvañca	sandhi	adv + adv + ind						and as long as; but as long as					yāva + kīvaṃ + ca	yāvat + kīvat + ca											AN 7.23	paṭhamasattakasuttaṃ	<b>yāvakīvañ’ca</b> bhikkhave bhikkhū abhiṇhaṃ sannipātā bhavissanti sannipāta-bahulā, vuddhi’y’eva pāṭikaṅkhā no parihāni	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	SN 56.11	dhammacakkappavattanasuttaṃ	<b>yāvakīvañ’ca</b> me, bhikkhave, imesu catūsu ariyasaccesu evaṃ tiparivaṭṭaṃ dvādas’ākāraṃ yathābhūtaṃ ñāṇadassanaṃ na suvisuddhaṃ ahosi, 	Dhamma-cakkappavattana	Setting in Motion the Wheel of Dhamma	Teachings	27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yāvakīvañca&entry.1433863141=Anki"">Fix it here</a>."	69912	 Aparihāniya-dhammā Dhamma-cakkappavattana
aparihāniya	adj		na parihāyati	neg				not connected with loss; not deteriorating; not decreasing; (principle) of non-decline			√hā 3 ya (to decrease)		na + pari + √hā + ni + ya		√hā										AN 7.23	paṭhamasattakasuttaṃ	katame ca bhikkhave satta <b>aparihāniyā</b> dhammā?	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=aparihāniya&entry.1433863141=Anki"">Fix it here</a>."	8447	 Aparihāniya-dhammā 
dhamma 07	masc		dharati					truth; reality; principle			√dhar 1 a (to hold, carry, endure)		√dhar + ma	dharma	√dhṛ				DHP 005	yamakavaggo	na hi verena verāni, sammant’īdha kudācanaṃ. <br/>averena ca sammanti, esa <b>dhammo</b> sanantano.				AN 7.23	paṭhamasattakasuttaṃ	katame ca bhikkhave satta aparihāniyā <b>dhammā</b>?	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:dhamma.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=dhamma 07&entry.1433863141=Anki"">Fix it here</a>."	18686	 Aparihāniya-dhammā 
kammārāmatā	fem	abstr, comp						pleasure of work; enjoyment of activity; lit. fond of work state					kamma + ārāma + tā<br/>kammārāma + tā	karman + ārāma + tā											AN 8.79	parihānasuttaṃ	na <b>kamm'ārāmatā</b>, na bhass'ārāmatā, na nidd'ārāmatā, na saṅgaṇik'ārāmatā, indriyesu guttadvāratā, bhojane mattaññutā, asaṃsagg'ārāmatā, nippapañc'ārāmatā.	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kammārāmatā&entry.1433863141=Anki"">Fix it here</a>."	27021	 Aparihāniya-dhammā 
kamma 2	nt	irreg	karoti					work; job; occupation			√kar 7 o (to do, make)		√kar + ma	karman	√kṛ										AN 8.79	parihānasuttaṃ	na <b>kamm</b>'ārāmatā, na bhass'ārāmatā, na nidd'ārāmatā, na saṅgaṇik'ārāmatā, indriyesu guttadvāratā, bhojane mattaññutā, asaṃsagg'ārāmatā, nippapañc'ārāmatā.	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:kamma.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kamma 2&entry.1433863141=Anki"">Fix it here</a>."	26922	 Aparihāniya-dhammā 
ora 1	adj	abbrev	avara					lower; inferior					ava > o + ra	avara					DN 33.8	saṅgītisuttaṃ	“pañca <b>oram</b>’bhāgiyāni saññojanāni — sakkāyadiṭṭhi, vicikicchā, sīlabbataparāmāso, kāmacchando, byāpādo. “pañca uddham’bhāgiyāni saññojanāni — rūparāgo, arūparāgo, māno, uddhaccaṃ, avijjā. 				AN 7.24	dutiyasattakasuttaṃ	na <b>ora</b>-mattakena vises'ādhigamena antarāvosānaṃ āpajjissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ora 1&entry.1433863141=Anki"">Fix it here</a>."	39006	 Aparihāniya-dhammā 
oramattaka	adj	comp						lesser; insignificant; of small value; lit. mere lower; simple inferior					ora + mattaka	avara + mātraka											AN 7.24	dutiyasattakasuttaṃ	na <b>oramattakena</b> vises'ādhigamena antarāvosānaṃ āpajjissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=oramattaka&entry.1433863141=Anki"">Fix it here</a>."	39015	 Aparihāniya-dhammā 
ārāmatā	fem	abstr	ārāma				+loc	fondness (of); taking pleasure (in); enjoyment (of); lit. pleasure state (in)			√ram 1 a (to delight, please)		ā + √ram > rām + *a + tā<br/>ārāma + tā	ārāma + tā	√ram			a > ā							AN 8.79	parihānasuttaṃ	na kamm'<b>ārāmatā</b>, na bhass'ārāmatā, na nidd'ārāmatā, na saṅgaṇik'ārāmatā, indriyesu guttadvāratā, bhojane mattaññutā, asaṃsagg'ārāmatā, nippapañc'ārāmatā.	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ārāmatā&entry.1433863141=Anki"">Fix it here</a>."	9428	 Aparihāniya-dhammā 
bhassa 1	nt		bhāsati					speech; talk; conversation			√bhās 1 a (to speak)		√bhās > bhassa + a	bhāṣya	√bhāṣ			ās > ass							AN 8.79	parihānasuttaṃ	na kamm'ārāmatā, na <b>bhass'</b>ārāmatā, na nidd'ārāmatā, na saṅgaṇik'ārāmatā, indriyesu guttadvāratā, bhojane mattaññutā, asaṃsagg'ārāmatā, nippapañc'ārāmatā.	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bhassa 1&entry.1433863141=Anki"">Fix it here</a>."	14047	 Aparihāniya-dhammā 
bhassārāmatā	fem	abstr, comp						pleasure of speech; enjoyment of talk; lit. enjoying talk state					bhassa + ārāma + tā<br/>bhassārāma + tā	bhāṣya + ārāma + tā											AN 8.79	parihānasuttaṃ	na kamm'ārāmatā, na <b>bhass'ārāmatā</b>, na nidd'ārāmatā, na saṅgaṇik'ārāmatā, indriyesu guttadvāratā, bhojane mattaññutā, asaṃsagg'ārāmatā, nippapañc'ārāmatā.	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bhassārāmatā&entry.1433863141=Anki"">Fix it here</a>."	14057	 Aparihāniya-dhammā 
niddārāmatā	fem	abstr, comp						pleasure of sleep; enjoyment of sleep; lit. enjoying sleep state					niddā + ārāma + tā<br/>niddārāma + tā	nidrā + ārāma + tā											AN 8.79	parihānasuttaṃ	na kamm'ārāmatā, na bhass'ārāmatā, na <b>nidd'ārāmatā</b>, na saṅgaṇik'ārāmatā, indriyesu guttadvāratā, bhojane mattaññutā, asaṃsagg'ārāmatā, nippapañc'ārāmatā.	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=niddārāmatā&entry.1433863141=Anki"">Fix it here</a>."	36741	 Aparihāniya-dhammā 
saṅgaṇikārāmatā	fem	abstr, comp						pleasure of company; enjoyment of society; lit. company enjoying state					saṅgaṇikā + ārāma + tā<br/>saṅgaṇikārāma + tā	saṃgaṇikā + ārāma + tā											AN 8.79	parihānasuttaṃ	na kamm'ārāmatā, na bhass'ārāmatā, na nidd'ārāmatā, na <b>saṅgaṇik'ārāmatā</b>, indriyesu guttadvāratā, bhojane mattaññutā, asaṃsagg'ārāmatā, nippapañc'ārāmatā.	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=saṅgaṇikārāmatā&entry.1433863141=Anki"">Fix it here</a>."	53305	 Aparihāniya-dhammā 
guttadvāratā	fem	abstr, comp						control of the senses; self-restraint; lit. fact of having guarded doors 					gutta + dvāra + tā<br/>guttadvāra + tā	gupta + dvāra + tā											AN 8.79	parihānasuttaṃ	na kamm'ārāmatā, na bhass'ārāmatā, na nidd'ārāmatā, na saṅgaṇik'ārāmatā, indriyesu <b>guttadvāratā</b>, bhojane mattaññutā, asaṃsagg'ārāmatā, nippapañc'ārāmatā.	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=guttadvāratā&entry.1433863141=Anki"">Fix it here</a>."	23759	 Aparihāniya-dhammā 
asaṃsaggārāmatā	fem	abstr, comp		neg				fact of non-enjoyment of commingling; fact of non-pleasure in social engagement; lit. not sticking together enjoyment state					na + saṃsagga + ārāma + tā<br/>saṃsaggārāma + tā	na + saṃsarga + ārāma + tā											AN 8.79	parihānasuttaṃ	na kamm'ārāmatā, na bhass'ārāmatā, na nidd'ārāmatā, na saṅgaṇik'ārāmatā, indriyesu guttadvāratā, bhojane mattaññutā, <b>asaṃsagg'ārāmatā</b>, nippapañc'ārāmatā.	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=asaṃsaggārāmatā&entry.1433863141=Anki"">Fix it here</a>."	70958	 Aparihāniya-dhammā 
asaṃsagga	masc		saṃsajjati	neg	pass			non-association; detachment; social isolation; independence; lit. not sticking together			√saj 3 ya (to stick, cling)	√saj + ya > sajja (pass)	na > a + saṃ + sajja > sagga +a	asaṃsarjana	√sañj			jj > gg							AN 8.79	parihānasuttaṃ	na kamm'ārāmatā, na bhass'ārāmatā, na nidd'ārāmatā, na saṅgaṇik'ārāmatā, indriyesu guttadvāratā, bhojane mattaññutā, <b>asaṃsagg</b>'ārāmatā, nippapañc'ārāmatā.	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=asaṃsagga&entry.1433863141=Anki"">Fix it here</a>."	10024	 Aparihāniya-dhammā 
nippapañca 2	masc		papañceti	neg				absence of proliferation; non-diffuseness; not spreading out; non-manifoldness (opinions; thoughts)			√pañc 8 *e (to expand, spread)		nir + pa + √pañc + a	niṣprapañca	√pañc				TH 259	sāriputtattheragāthā	yo ca papañcaṃ hitvāna, <b>nippapañca</b>-pathe rato, <br/>ārādhayī so nibbānaṃ, yogakkhemaṃ anuttaraṃ.				AN 8.79	parihānasuttaṃ	na kamm'ārāmatā, na bhass'ārāmatā, na nidd'ārāmatā, na saṅgaṇik'ārāmatā, indriyesu guttadvāratā, bhojane mattaññutā, asaṃsagg'ārāmatā, <b>nippapañc'</b>ārāmatā.	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=nippapañca 2&entry.1433863141=Anki"">Fix it here</a>."	37563	 Aparihāniya-dhammā 
nippapañcārāmatā	fem	abstr, comp		neg				fact of enjoying mental non-proliferation; fact of not taking pleasure in manifold ideas					nippapañca + ārāma + tā	niṣprapañca + ārāma + tā											AN 8.79	parihānasuttaṃ	na kamm'ārāmatā, na bhass'ārāmatā, na nidd'ārāmatā, na saṅgaṇik'ārāmatā, indriyesu guttadvāratā, bhojane mattaññutā, asaṃsagg'ārāmatā, <b>nippapañc'ārāmatā</b>.	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=nippapañcārāmatā&entry.1433863141=Anki"">Fix it here</a>."	71049	 Aparihāniya-dhammā 
kalyāṇamittatā	fem	abstr, comp						beneficial friendship; spiritual companionship					kalyāṇa + mittatā	kalyāṇa + maitratā					AN 10.73	iṭṭhadhammasuttaṃ	<b>kalyāṇamittatā</b> sīlānaṃ āhāro, indriyasaṃvaro brahmacariyassa āhāro, avisaṃvādanā mittānaṃ āhāro,				AN 6.22	aparihāniyasuttaṃ	na kamm'ārāmatā, na bhass'ārāmatā, na nidd'ārāmatā, na saṅgaṇik'ārāmatā, sovacassatā, <b>kalyāṇamittatā</b>	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kalyāṇamittatā&entry.1433863141=Anki"">Fix it here</a>."	26706	 Aparihāniya-dhammā 
visesādhigama	masc	comp						specific attainment					visesa + adhigama												AN 7.24	dutiyasattakasuttaṃ	na oramattakena <b>vises'ādhigamena</b> antarā-vosānaṃ āpajjissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=visesādhigama&entry.1433863141=Anki"">Fix it here</a>."	68343	 Aparihāniya-dhammā 
antarā 1	ind	prep, abl sg	antara				+acc +loc	in between; mid-way; along the way					anta + ra + ā	antarā					DN 1.1	brahmajālasuttaṃ	evaṃ me sutaṃ, ekaṃ samayaṃ bhagavā <b>antarā</b> ca rājagahaṃ antarā ca nāḷandaṃ addhānamaggappaṭipanno hoti mahatā bhikkhusaṅghena saddhiṃ pañcamattehi bhikkhusatehi				AN 7.24	dutiyasattakasuttaṃ	na oramattakena vises'ādhigamena <b>antarā</b>-vosānaṃ āpajjissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=antarā 1&entry.1433863141=Anki"">Fix it here</a>."	6531	 Aparihāniya-dhammā 
antarāvosāna	nt	comp						ceasing on half-way; stop in between					antarā + vosāna												AN 7.24	dutiyasattakasuttaṃ	na oramattakena vises'ādhigamena <b>antarāvosānaṃ</b> āpajjissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=antarāvosāna&entry.1433863141=Anki"">Fix it here</a>."	6587	 Aparihāniya-dhammā 
vosāna 2	nt							stopping; ceasing; lit. accomplishment			√sā 1 a (to complete, accomplish)		vi + ava + √sā + na	vi + avasāna	√so										AN 7.24	dutiyasattakasuttaṃ	na oramattakena vises'ādhigamena antarā-<b>vosānaṃ</b> āpajjissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:vosāna.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vosāna 2&entry.1433863141=Anki"">Fix it here</a>."	69055	 Aparihāniya-dhammā 
deseti 1	pr				caus	trans	+acc	points out; preaches; expounds			√dis 1 *e (to point out, explain)	√dis + *e > dese (caus)	dese + ti	deśayati	√diś				AN 8.53	saṃkhittasuttaṃ	sādhu me bhagavā saṃkhittena dhammaṃ <b>desetu</b>, yam’ahaṃ bhagavato dhammaṃ sutvā ekā vūpakaṭṭhā appamattā ātāpinī pahit’attā vihareyyan’ti	Saṅkhitta-dhamma	The Dhamma in Brief	Teachings	AN 7.23	paṭhamasattakasuttaṃ	satta vo bhikkhave aparihāniye dhamme <b>desessāmi</b>. katame ca bhikkhave satta aparihāniyā dhammā?	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	VIN PAT PC 7	dhammadesanā sikkhāpada	yo pana bhikkhu mātugāmassa uttarichappañcavācāhi dhammaṃ <b>deseyya</b>, aññatra viññunā purisaviggahena, pācittiyaṃ.				27n	55	[sound:deseti.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=deseti 1&entry.1433863141=Anki"">Fix it here</a>."	18462	Saṅkhitta-dhamma Aparihāniya-dhammā 
taṇhā 1	fem							craving; wanting; desire; lit. thirst			√tas 6 ṇhā (to thirst)		√tas + ṇhā + ā	tṛṣṇā	√tṛṣ				AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū uppannāya <b>taṇhāya</b> ponobhavikāya na vasaṃ gacchissanti, vuddhi’y’eva pāṭikaṅkhā no parihāni	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	SN 12.2	vibhaṅgasuttaṃ	vedanā-paccayā <b>taṇhā</b>; <b>taṇhā</b>-paccayā upādānaṃ; upādāna-paccayā bhavo; bhava-paccayā jāti; jāti-paccayā jarāmaraṇaṃ soka-parideva-dukkhadomanass’upāyāsā sambhavanti.	Paṭicca-samuppāda	Dependent Origination	Teachings	SN 12.2	vibhaṅgasuttaṃ	saḷ'āyatana-nirodho, saḷ'āyatana-nirodhā, phassa-nirodho, phassa-nirodhā, vedanā-nirodho, vedanā-nirodhā, <b>taṇhā</b>-nirodho, <b>taṇhā</b>-nirodhā, upādāna-nirodho,	Paṭicca-samuppāda	Dependent Origination	Teachings	27n	55	[sound:taṇhā.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=taṇhā 1&entry.1433863141=Anki"">Fix it here</a>."	58668	Aparihāniya-dhammā Paṭicca-samuppāda Paṭicca-samuppāda
anāgata 2	adj	pp	na āgacchati	neg				future			√gam 1 a (to go)		na + ā + √gam + ta	anāgata	√gam										SN 6.2	gāravasuttaṃ	ye ca atītā sambuddhā, ye ca buddhā <b>anāgatā</b>. <br/>yo c’eta’r’ahi sambuddho, bahunnaṃ soka-nāsano.	Dhamma-gārava	Respect for the Dhamma	Verses	MN 131	bhaddekarattasuttaṃ	atītaṃ n’ānvāgameyya, nappaṭikaṅkhe <b>anāgataṃ</b>. yad'atītam’pahīnan’taṃ, appattañ’ca <b>anāgataṃ</b>.	Bhadd’eka-ratta	A single Excellent Night	Verses	27n	55	[sound:anāgata.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=anāgata 2&entry.1433863141=Anki"">Fix it here</a>."	5087	 Dhamma-gārava Bhadd’eka-ratta
kīva	ind	interr	ka					how far?; how much?					ka + iva?	kīvat					MN 70	kīṭāgirisuttaṃ	<b>kīva</b> dūr’ev’ime, bhikkhave, moghapurisā apakkantā imamhā dhammavinayā.				AN 7.23	paṭhamasattakasuttaṃ	yāva-<b>kīvañ</b>’ca bhikkhave bhikkhū abhiṇhaṃ sannipātā bhavissanti sannipāta-bahulā, vuddhi-y’eva pāṭikaṅkhā no parihāni	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kīva&entry.1433863141=Anki"">Fix it here</a>."	29887	 Aparihāniya-dhammā 
